"data","n","p","method","seconds","lambda0","nonzeros","auc_train","auc_test","brier_train","brier_test","med_abs","max_abs"
"adult_data.csv",22792,36,"FasterRisk",1513.34350705147,NA,25,0.889132043297409,0.889818014026759,0.2402877238779,0.233633458808787,1,8
"adult_data.csv",22792,36,"LR",0.856013059616089,NA,32,0.890782840358197,0.892134472242885,0.111319631008788,0.109405505440776,1.8067251784938,11.3430891453628
"adult_data.csv",22792,36,"Rounded LR",1.00238609313965,NA,32,0.890603239752048,0.891900127358571,0.111371665136426,0.109480187296025,14.5,115
"adult_data.csv",22792,36,"Lasso",18.4217319488525,0.000109458738975073,27,0.890741612308819,0.892023255751796,0.111349755908494,0.109485382769405,0.209437787925462,2.1470068138436
"adult_data.csv",22792,36,"Rounded Lasso",18.5560088157654,0.000109458738975073,25,0.889448053469157,0.891212461964715,0.111903382373698,0.109958698778831,2,23
"adult_data.csv",22792,36,"NLLCD",22.2506520748138,0,21,0.875804259732733,0.873980007063468,0.116783080513024,0.116230471920361,1,10
"adult_data.csv",22792,36,"NLLCD with CV (lambda_min)",2035.66183590889,1.8688466777786e-05,21,0.875804259732733,0.873980007063468,0.116783080513024,0.116230471920361,1,10
"adult_data.csv",22792,36,"NLLCD with CV (lambda_1se)",2035.66183590889,0.00274309178494136,19,0.876733178565875,0.877868632986625,0.116480182710297,0.113985844015287,1,10
"bank_data.csv",28831,57,"FasterRisk",3751.82196903229,NA,28,0.790699390688246,0.773375402516179,0.100607339415011,0.0992851877975181,0,10
"bank_data.csv",28831,57,"LR",1.03838896751404,NA,48,0.792363862569197,0.772358507300267,0.0788395262420728,0.0803392982546112,0.192008023403115,2.50414004620732
"bank_data.csv",28831,57,"Rounded LR",1.25664210319519,NA,43,0.792123363347282,0.773076542350316,0.0788768431506024,0.0803409922400283,1,34
"bank_data.csv",28831,57,"Lasso",9.1371738910675,0.00056440253173795,26,0.792464832282833,0.773049237353506,0.0789120454522522,0.080255278927233,0,1.7473552131539
"bank_data.csv",28831,57,"Rounded Lasso",9.48521399497986,0.00056440253173795,22,0.789583609251815,0.775382950919433,0.0801925635416486,0.0805150020643536,0,1671
"bank_data.csv",28831,57,"NLLCD",65.155356168747,0,30,0.789536327741266,0.769231620116408,0.0791329717277688,0.0807163586233653,1,10
"bank_data.csv",28831,57,"NLLCD with CV (lambda_min)",2506.30467796326,0.000244316382633259,21,0.788499801458333,0.771438010017147,0.0792292214632852,0.0804033413867215,0,10
"bank_data.csv",28831,57,"NLLCD with CV (lambda_1se)",2506.30467796326,0.00358607407497171,7,0.778376407722631,0.769675974060917,0.081208688921276,0.0812753089684545,0,5
"breastcancer_data.csv",478,9,"FasterRisk",13.2735049724579,NA,8,0.99688202247191,0.995446265938069,0.235405917629515,0.181190470563972,3,6
"breastcancer_data.csv",478,9,"LR",0.0245578289031982,NA,9,0.996910112359551,0.995218579234973,0.0171242739267165,0.0258941275435408,0.293011371060169,0.642267919974467
"breastcancer_data.csv",478,9,"Rounded LR",0.0418288707733154,NA,7,0.996732209737828,0.995332422586521,0.0171435320689332,0.0267973666049627,1,2
"breastcancer_data.csv",478,9,"Lasso",2.9954149723053,0.00381898231132925,8,0.996722846441948,0.995673952641166,0.0182157681882052,0.0249760642946573,0.134558111034053,0.317222324490436
"breastcancer_data.csv",478,9,"Rounded Lasso",3.0453450679779,0.00381898231132925,7,0.996591760299625,0.995844717668488,0.0184359050148835,0.0256126474630925,1,2
"breastcancer_data.csv",478,9,"NLLCD",0.161008834838867,0,9,0.99683520599251,0.995218579234973,0.0172105733369898,0.0263564586307233,5,10
"breastcancer_data.csv",478,9,"NLLCD with CV (lambda_min)",19.494637966156,0.0272573104322038,4,0.995496254681648,0.988957194899818,0.0224275449056292,0.0349174287472777,0,10
"breastcancer_data.csv",478,9,"NLLCD with CV (lambda_1se)",19.494637966156,0.185701894213113,2,0.985936329588015,0.985598816029144,0.0361192593684688,0.0394310736876685,0,9
"mammo_data.csv",672,14,"FasterRisk",15.9648978710175,NA,10,0.847973455116312,0.883451786400307,0.264320858047016,0.268645210375125,3,10
"mammo_data.csv",672,14,"LR",0.01904296875,NA,11,0.848116169544741,0.883355743373031,0.155293262273221,0.128841984467087,0.99081843277783,1.89637038102742
"mammo_data.csv",672,14,"Rounded LR",0.322082996368408,NA,9,0.841743078350221,0.88465232424126,0.157195555620382,0.130141311811123,1,3
"mammo_data.csv",672,14,"Lasso",1.17355179786682,0.00767575385668892,5,0.847857499643214,0.887509604302727,0.155375127645865,0.128652866933672,0,1.16466214992384
"mammo_data.csv",672,14,"Rounded Lasso",1.22720885276794,0.00767575385668892,5,0.83643142571714,0.886285055704956,0.159856968898972,0.125171421582016,0,11
"mammo_data.csv",672,14,"NLLCD",0.589226007461548,0,13,0.848187526758955,0.881122742988859,0.155405871696463,0.129987690795518,2,10
"mammo_data.csv",672,14,"NLLCD with CV (lambda_min)",35.6371150016785,2.63314378546847e-05,12,0.848209825888397,0.881650979638878,0.155558187268512,0.129645296448601,2,10
"mammo_data.csv",672,14,"NLLCD with CV (lambda_1se)",35.6371150016785,0.0567293631525515,1,0.75999000999001,0.815837495197849,0.178929426939377,0.149447017548018,0,10
"mushroom_data.csv",5686,113,"FasterRisk",10238.706592083,NA,53,1,1,9.91786184928125e-07,1.36740215473981e-06,0,10
"mushroom_data.csv",5686,113,"LR",1.67250800132751,NA,85,1,1,8.41400786773631e-24,8.41400868087812e-24,3.13520595965978e-07,132.830341814578
