"data","n","p","method","seconds","lambda0","nonzeros","deviance","threshold","auc","brier","precision","recall","f1_score","accuracy","sensitivity","specificity","med_abs","max_abs"
"sim_100_16_0_0_1_data.csv",100,16,"FasterRisk",2.32702898979187,NA,14,605.95775764183,1.71812871467666e-12,0.904444444444444,0.499608564274244,0.777777777777778,0.933333333333333,0.848484848484849,0.833333333333333,0.933333333333333,0.733333333333333,4,10
"sim_100_16_0_0_1_data.csv",100,16,"LR",0.00191903114318848,NA,16,38.0375591920003,0.260871877014014,0.902222222222222,0.161572386268714,0.8125,0.866666666666667,0.838709677419355,0.833333333333333,0.866666666666667,0.8,3.84660149707355,11.2601052519205
"sim_100_16_0_0_1_data.csv",100,16,"LR",0.00191903114318848,NA,16,38.0375591920003,0.417723495148755,0.902222222222222,0.161572386268714,0.857142857142857,0.8,0.827586206896552,0.833333333333333,0.8,0.866666666666667,3.84660149707355,11.2601052519205
"sim_100_16_0_0_1_data.csv",100,16,"Rounded LR",0.00557613372802734,NA,11,38.7936651311771,0.186435083754235,0.88,0.158569129953578,0.8,0.8,0.8,0.8,0.8,0.8,1,3
"sim_100_16_0_0_1_data.csv",100,16,"Rounded LR",0.00557613372802734,NA,11,38.7936651311771,0.586303540988882,0.88,0.158569129953578,0.909090909090909,0.666666666666667,0.769230769230769,0.8,0.666666666666667,0.933333333333333,1,3
"sim_100_16_0_0_1_data.csv",100,16,"Rounded LR",0.00557613372802734,NA,11,38.7936651311771,0.913044570669882,0.88,0.158569129953578,1,0.6,0.75,0.8,0.6,1,1,3
"sim_100_16_0_0_1_data.csv",100,16,"Lasso",0.150543928146362,0.0120937413320893,9,14.7651868050721,0.296782671248783,0.942222222222222,0.0754182582363258,0.833333333333333,1,0.909090909090909,0.9,1,0.8,0.114647511559656,2.67277624396058
"sim_100_16_0_0_1_data.csv",100,16,"Lasso",0.150543928146362,0.0120937413320893,9,14.7651868050721,0.535094581242476,0.942222222222222,0.0754182582363258,0.875,0.933333333333333,0.903225806451613,0.9,0.933333333333333,0.866666666666667,0.114647511559656,2.67277624396058
"sim_100_16_0_0_1_data.csv",100,16,"Rounded Lasso",0.156696796417236,0.0120937413320893,6,21.2260771058655,0.192605064792585,0.92,0.101396254448878,0.833333333333333,1,0.909090909090909,0.9,1,0.8,0,3
"sim_100_16_0_0_1_data.csv",100,16,"NLLCD",0.0677409172058105,0,15,35.4415295239466,0.214480139868181,0.893333333333333,0.169481585017623,0.8125,0.866666666666667,0.838709677419355,0.833333333333333,0.866666666666667,0.8,3.5,10
"sim_100_16_0_0_1_data.csv",100,16,"NLLCD with CV (lambda_min)",42.5349810123444,0.00419724882142502,15,35.4415295239466,0.214480139868181,0.893333333333333,0.169481585017623,0.8125,0.866666666666667,0.838709677419355,0.833333333333333,0.866666666666667,0.8,3.5,10
"sim_100_16_0_0_1_data.csv",100,16,"NLLCD with CV (lambda_min)",42.5349810123444,0.285955233389974,1,30.1108042823315,0.518610421836402,0.8,0.160494184435603,0.8,0.8,0.8,0.8,0.8,0.8,0,10
"sim_100_16_0_0_2_data.csv",100,16,"FasterRisk",2.3184118270874,NA,13,258.208275545764,7.69672687645191e-08,0.942583732057416,0.329860351523448,1,0.818181818181818,0.9,0.933333333333333,0.818181818181818,1,3,10
"sim_100_16_0_0_2_data.csv",100,16,"LR",0.00184011459350586,NA,16,20.1473341398932,0.958230602678398,0.952153110047847,0.1096925699116,1,0.818181818181818,0.9,0.933333333333333,0.818181818181818,1,3.23513220477008,10.9015177242792
"sim_100_16_0_0_2_data.csv",100,16,"Rounded LR",0.00540709495544434,NA,13,30.459812487797,0.920700888920376,0.930622009569378,0.160800436309279,0.888888888888889,0.727272727272727,0.8,0.866666666666667,0.727272727272727,0.947368421052632,1,3
"sim_100_16_0_0_2_data.csv",100,16,"Lasso",0.134343147277832,0.0387280478636286,5,22.6314660115555,0.502726850046433,0.942583732057416,0.115049929576371,0.909090909090909,0.909090909090909,0.909090909090909,0.933333333333333,0.909090909090909,0.947368421052632,0,1.94136207331099
"sim_100_16_0_0_2_data.csv",100,16,"Rounded Lasso",0.14014720916748,0.0387280478636286,4,17.5360520771137,0.605625525476339,0.940191387559809,0.090575756183216,0.9,0.818181818181818,0.857142857142857,0.9,0.818181818181818,0.947368421052632,0,2
"sim_100_16_0_0_2_data.csv",100,16,"NLLCD",0.0712878704071045,0,13,20.5924029253788,0.84819370015486,0.942583732057416,0.122892530941,0.9,0.818181818181818,0.857142857142857,0.9,0.818181818181818,0.947368421052632,3,10
"sim_100_16_0_0_2_data.csv",100,16,"NLLCD with CV (lambda_min)",42.5706970691681,0.126816896711734,2,34.3889278002748,0.535597953899934,0.77511961722488,0.195244398740607,0.571428571428571,0.727272727272727,0.64,0.7,0.727272727272727,0.68421052631579,0,10
"sim_100_16_0_0_2_data.csv",100,16,"NLLCD with CV (lambda_min)",42.5706970691681,0.126816896711734,2,34.3889278002748,0.535597953899934,0.77511961722488,0.195244398740607,0.571428571428571,0.727272727272727,0.64,0.7,0.727272727272727,0.68421052631579,0,10
"sim_100_16_0_0_3_data.csv",100,16,"FasterRisk",2.32922887802124,NA,12,608.0000132613,4.54918830334585e-12,0.805803571428572,0.466666226263483,0.714285714285714,0.714285714285714,0.714285714285714,0.733333333333333,0.714285714285714,0.75,2,9
